                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0856,                0.63386,                 1.0223,                0.92129,                0.90385,                0.95961,                0.55431,                 1.0975,                0.56592,                0.99622,              0.0013266,              0.0013266,              0.0013266
                     35,                 1.1151,                 0.6458,                 1.0326,                0.92906,                0.94231,                0.95737,                 0.6302,                 1.0798,                0.59481,                0.99814,              0.0013163,              0.0013163,              0.0013163
                     36,                 1.0974,                0.61434,                 1.0167,                0.94557,                0.98077,                0.97264,                  0.638,                0.99762,                0.54351,                0.97244,               0.001306,               0.001306,               0.001306
                     37,                 1.0595,                0.59378,                 1.0203,                0.97127,                0.97612,                0.97235,                0.61771,                 1.0654,                0.52397,                0.98935,              0.0012957,              0.0012957,              0.0012957
                     38,                 1.1227,                0.62149,                 1.0375,                0.93072,                0.90385,                 0.9478,                0.60672,                 1.0278,                 0.5391,                0.97027,              0.0012854,              0.0012854,              0.0012854
                     39,                 1.0685,                0.59731,                0.99942,                0.97602,                0.96154,                 0.9925,                0.64639,                0.91723,                0.49005,                0.95516,               0.001275,               0.001275,               0.001275
                     40,                 1.0533,                0.58356,                 1.0102,                0.89826,                0.93524,                0.93937,                0.60016,                 1.0109,                0.53881,                0.97824,              0.0012647,              0.0012647,              0.0012647
                     41,                 1.0663,                0.57824,                 1.0148,                0.93202,                0.84615,                0.90509,                0.57836,                  1.038,                0.57315,                0.98878,              0.0012544,              0.0012544,              0.0012544
                     42,                 1.0844,                0.60767,                 1.0242,                0.89666,                0.92717,                0.93917,                0.60834,                0.97405,                0.50909,                0.94905,              0.0012441,              0.0012441,              0.0012441
                     43,                 1.0669,                0.57983,                 1.0015,                0.92455,                0.90385,                0.90043,                0.55047,                  1.091,                0.55418,                0.99899,              0.0012338,              0.0012338,              0.0012338
                     44,                 1.0623,                0.58339,                 1.0025,                0.95334,                0.84615,                0.90847,                0.58573,                 1.0037,                0.55198,                0.98302,              0.0012235,              0.0012235,              0.0012235
                     45,                 1.0863,                0.59829,                 1.0119,                0.92696,                0.90475,                0.94265,                0.60281,                 1.0362,                0.52667,                0.97371,              0.0012132,              0.0012132,              0.0012132
                     46,                 1.0504,                0.58408,                 1.0236,                0.95251,                 0.9545,                0.96644,                 0.5936,                 1.1121,                0.54552,                  1.018,              0.0012028,              0.0012028,              0.0012028
                     47,                 1.0688,                0.60229,                 1.0046,                0.93325,                0.94283,                0.97992,                0.63657,                 1.0276,                0.51245,                0.96562,              0.0011925,              0.0011925,              0.0011925
                     48,                 1.0119,                0.56445,                0.98988,                0.94585,                0.94231,                0.95515,                0.59639,                 1.0976,                0.55304,                0.98468,              0.0011822,              0.0011822,              0.0011822
                     49,                 1.0563,                0.57181,                 1.0008,                0.93445,                0.99287,                0.98978,                0.62743,                 1.0683,                0.50285,                0.96774,              0.0011719,              0.0011719,              0.0011719
                     50,                 1.0163,                0.55271,                0.98209,                0.92429,                0.96154,                0.98082,                0.63902,                 1.0043,                0.49297,                0.96091,              0.0011616,              0.0011616,              0.0011616
                     51,                 1.0472,                0.56988,                0.99865,                0.90582,                0.96154,                0.97486,                0.66242,                0.95813,                0.46685,                0.95439,              0.0011513,              0.0011513,              0.0011513
                     52,                 1.0541,                0.55755,                 1.0112,                0.96655,                0.98077,                 0.9829,                0.61585,                  1.109,                0.50778,                 1.0059,               0.001141,               0.001141,               0.001141
                     53,                 1.0447,                0.59158,                0.99709,                0.96774,                0.96154,                0.99071,                0.62768,                 1.0013,                0.47665,                0.95597,              0.0011306,              0.0011306,              0.0011306
                     54,                 1.0416,                0.56406,                 1.0011,                0.98039,                0.94231,                0.98984,                0.62167,                 1.0077,                0.48958,                0.97447,              0.0011203,              0.0011203,              0.0011203
                     55,                 1.0235,                0.57311,                 1.0072,                0.96984,                0.90385,                0.97118,                0.62407,                 1.0157,                0.48417,                0.98799,                0.00111,                0.00111,                0.00111
                     56,                 1.0095,                0.53942,                0.98263,                0.97002,                0.93874,                0.96052,                0.63219,                      1,                0.48138,                0.96504,              0.0010997,              0.0010997,              0.0010997
                     57,                0.98945,                0.55111,                0.99205,                0.98413,                0.94231,                0.98374,                0.64915,                0.93363,                0.46025,                0.93749,              0.0010894,              0.0010894,              0.0010894
                     58,                 0.9822,                 0.5446,                0.98975,                0.91626,                0.98077,                0.96412,                  0.615,                 1.0707,                0.49785,                0.97695,              0.0010791,              0.0010791,              0.0010791
                     59,                 1.0253,                0.55364,                 1.0002,                0.91814,                0.95866,                0.94824,                0.62618,                 1.0462,                0.51195,                0.97338,              0.0010688,              0.0010688,              0.0010688
                     60,                 1.0113,                0.54723,                 0.9915,                0.86942,                0.93033,                0.91608,                0.61876,                 0.9723,                0.50996,                0.95413,              0.0010584,              0.0010584,              0.0010584
                     61,                0.97047,                0.51301,                0.98219,                0.93475,                0.95386,                0.94115,                0.60227,                  1.003,                0.49757,                0.95867,              0.0010481,              0.0010481,              0.0010481
                     62,                 1.0071,                 0.5546,                0.96862,                 0.9321,                0.94231,                0.97179,                0.63971,                0.97034,                0.46698,                0.94255,              0.0010378,              0.0010378,              0.0010378
                     63,                 1.0237,                0.55471,                0.98667,                0.96609,                0.98077,                0.99114,                0.63408,                 1.0379,                0.51103,                0.98223,              0.0010275,              0.0010275,              0.0010275
                     64,                0.97401,                0.53249,                0.96458,                0.97118,                0.96154,                 0.9917,                0.67787,                0.94836,                0.45744,                0.93281,              0.0010172,              0.0010172,              0.0010172
                     65,                0.99766,                0.54068,                0.99377,                0.97239,                0.98077,                0.96948,                0.61521,                 1.0225,                0.47759,                0.97174,              0.0010069,              0.0010069,              0.0010069
                     66,                0.94802,                0.50973,                0.95763,                0.95602,                0.98077,                0.99117,                0.65707,                0.97381,                0.46133,                0.94924,             0.00099655,             0.00099655,             0.00099655
                     67,                0.94089,                0.51102,                0.97001,                0.93567,                0.96154,                0.96369,                0.61026,                 1.0218,                0.46063,                0.96319,             0.00098624,             0.00098624,             0.00098624
                     68,                0.97975,                0.55588,                0.98087,                0.99556,                0.97926,                  0.986,                0.61464,                0.99175,                0.46866,                0.93708,             0.00097592,             0.00097592,             0.00097592
                     69,                0.97861,                0.50914,                0.97447,                0.96863,                0.98077,                0.99065,                0.65956,                0.94669,                 0.4492,                0.93941,             0.00096561,             0.00096561,             0.00096561
                     70,                0.93522,                0.50406,                0.96419,                0.97088,                0.99317,                0.98796,                0.65597,                 0.9602,                0.42962,                 0.9464,              0.0009553,              0.0009553,              0.0009553
                     71,                0.96221,                0.51191,                0.97361,                0.97173,                0.96064,                0.98742,                0.63392,                 1.0087,                0.43497,                0.96794,             0.00094498,             0.00094498,             0.00094498
                     72,                0.92812,                0.51179,                0.95513,                0.97352,                      1,                  0.995,                0.66292,                0.91753,                0.42816,                0.93673,             0.00093467,             0.00093467,             0.00093467
                     73,                0.93537,                0.48982,                0.96946,                0.99158,                0.95971,                0.99004,                0.63852,                0.99274,                0.45133,                0.95466,             0.00092435,             0.00092435,             0.00092435
                     74,                 1.0012,                0.54156,                0.96845,                 0.9919,                0.97842,                0.99444,                0.63991,                 1.0683,                0.46553,                0.97445,             0.00091404,             0.00091404,             0.00091404
                     75,                  0.986,                0.54503,                0.97577,                0.96043,                0.96154,                0.96659,                0.64532,                0.96958,                0.42839,                 0.9448,             0.00090372,             0.00090372,             0.00090372
                     76,                0.93558,                  0.504,                0.96865,                0.98205,                      1,                  0.995,                0.65863,                0.97618,                 0.4302,                0.94034,             0.00089341,             0.00089341,             0.00089341
                     77,                0.93523,                0.49385,                 0.9526,                0.96621,                      1,                0.99148,                 0.6282,                 1.0123,                0.46287,                0.95949,             0.00088309,             0.00088309,             0.00088309
                     78,                0.93843,                0.51545,                 0.9692,                0.99055,                0.96154,                0.99142,                0.65318,                 1.0083,                0.43927,                0.97226,             0.00087278,             0.00087278,             0.00087278
                     79,                0.93915,                0.49998,                0.97414,                0.99013,                0.99377,                  0.995,                0.68323,                0.95101,                0.43102,                 0.9502,             0.00086246,             0.00086246,             0.00086246
                     80,                0.93812,                0.50746,                0.95717,                0.96609,                0.98077,                0.97436,                0.67963,                 1.0142,                0.44068,                0.95849,             0.00085215,             0.00085215,             0.00085215
