                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6023,                 3.7718,                 1.3517,                0.00407,                    0.5,                0.45378,                0.34274,                 1.1833,                 3.8326,                 1.0194,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.2636,                 2.1981,                 1.1236,                0.00351,                    0.5,                0.07322,                0.05616,                 1.1335,                 3.7648,                0.96538,             0.00044786,             0.00044786,             0.00044786
                      2,                 1.3009,                 1.7825,                 1.0941,                0.00324,                    0.5,                0.04074,                0.03018,                 1.2052,                 4.0023,                0.99547,              0.0006767,              0.0006767,              0.0006767
                      3,                 1.2649,                 1.6068,                 1.0697,                0.00332,                    0.5,                 0.4975,                0.38169,                 1.2265,                 3.2093,                 1.0302,             0.00090323,             0.00090323,             0.00090323
                      4,                 1.2793,                 1.4779,                 1.0787,                0.98711,                    0.5,                0.70452,                0.42559,                 1.2515,                 2.4907,                 1.0089,              0.0011275,              0.0011275,              0.0011275
                      5,                 1.2446,                 1.3925,                 1.0577,                 0.9945,                    0.5,                0.53687,                0.40166,                 1.1623,                 2.2451,                0.96492,              0.0013494,              0.0013494,              0.0013494
                      6,                 1.2282,                 1.4422,                 1.0582,                0.97856,                    0.5,                0.70156,                0.46377,                 1.1622,                 1.9092,                0.99357,               0.001569,               0.001569,               0.001569
                      7,                 1.2043,                 1.2971,                 1.0517,                0.68923,                0.82596,                 0.7682,                0.51377,                 1.0929,                 1.3181,                0.95934,              0.0016092,              0.0016092,              0.0016092
                      8,                 1.2646,                 1.2796,                  1.072,                0.65988,                0.83333,                0.79252,                0.49563,                  1.048,                 2.2043,                0.94766,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1637,                 1.1811,                 1.0264,                0.79308,                  0.818,                0.81836,                0.52876,                 1.0488,                 1.3043,                0.93911,               0.001601,               0.001601,               0.001601
                     10,                 1.2151,                 1.1737,                 1.0536,                0.81215,                0.72222,                0.75351,                0.45382,                 1.0441,                  1.196,                0.96171,              0.0015927,              0.0015927,              0.0015927
                     11,                  1.229,                 1.1038,                  1.047,                0.90747,                0.77216,                0.81814,                0.51881,                 1.0819,                 1.1923,                0.96857,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.2365,                 1.0502,                 1.0429,                 0.8124,                0.86111,                 0.8691,                0.53803,                 1.0744,                 1.0276,                0.94247,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.1891,                0.98795,                 1.0306,                0.77395,                0.80556,                0.81389,                0.51274,                 1.0587,                0.93011,                0.94532,               0.001568,               0.001568,               0.001568
                     14,                 1.1392,                0.97331,                 1.0431,                0.95657,                0.77778,                0.87458,                0.49649,                 1.1404,                0.93707,                0.97518,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.1559,                0.92773,                 1.0225,                0.85725,                0.72222,                0.83031,                0.55393,                0.99976,                0.86515,                0.91244,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.1171,                0.87625,                0.98363,                0.86844,                   0.75,                0.84836,                0.52569,                 1.0087,                0.92711,                0.91616,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.1471,                0.88863,                 1.0159,                0.92537,                0.86111,                0.88554,                0.53331,                 1.0436,                0.84307,                0.93057,               0.001535,               0.001535,               0.001535
                     18,                 1.0888,                0.87968,                0.97888,                0.92567,                0.80556,                0.85623,                0.57886,                 1.0788,                0.86166,                0.93272,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0416,                0.82383,                0.98975,                0.82754,                0.91667,                 0.8944,                0.56588,                 1.0404,                0.75165,                0.93488,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.0764,                0.85493,                0.99234,                0.90524,                0.93688,                0.92612,                0.58736,                 1.0333,                0.72614,                0.93274,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.0366,                0.78396,                0.98277,                0.92739,                0.88889,                0.91585,                0.57237,                  1.076,                0.76958,                 0.9332,               0.001502,               0.001502,               0.001502
